ID,Canal,Clase_real,Contenido_entrada,Que_prueba_patron,Resultado_esperado,Resultado_obtenido,Veredicto,Prediccion_a_confirmar
L01,Texto,INFRACTOR,Base TimeWise ya disponible. $2500 con envio incluido. Escribime.,P1 simbolo+digito: dentro del limite,Bloquear,Bloqueo (patron: $2),VP,Bloquea (VP)
L02,Texto,INFRACTOR,"Base TimeWise ya disponible. $  2500, escribime por privado.",P1 borde: dos espacios entre simbolo y digito (el patron admite uno solo),Bloquear,Bloqueo (patron: $  2),VP,Se escapa (FN)
L03,Texto,INFRACTOR,"El set lo dejo en 2500$, consultame sin compromiso.",P1 borde: simbolo despues del numero,Bloquear,Publico,FN,Se escapa (FN)
L04,Texto,LIMPIO,"Precios? Te los paso por privado, sin compromiso.",P6 borde: palabra-precio en plural y sin numero (copy que SI cumple la norma),Publicar,Publico,VN,Publica (VN)
L05,Texto,INFRACTOR,"Set completo de cuidado facial, 4500 pesos.",P2 digito+palabra-moneda: dentro del limite,Bloquear,Bloqueo (patron: 4500 pesos),VP,Bloquea (VP)
L06,Texto,INFRACTOR,"Set completo de cuidado facial, cuatro mil quinientos pesos.",P2 borde: precio escrito en palabras (sin ningun digito),Bloquear,Publico,FN,Se escapa (FN)
L07,Texto,INFRACTOR,"Set completo de cuidado facial, 4500  pesos.",P2 borde: dos espacios (contrasta con P1: aca hay dos \s? y si tolera),Bloquear,Bloqueo (patron: 4500  pesos),VP,Bloquea (VP)
L08,Texto,LIMPIO,Hidratacion que se siente durante 24 horas.,P2 borde: digito + palabra que no es moneda,Publicar,Publico,VN,Publica (VN)
L09,Texto,INFRACTOR,"Set de 3 productos, 12.500 todo junto.",P3 separador de miles: dentro del limite,Bloquear,Bloqueo (patron: 12.500),VP,Bloquea (VP)
L10,Texto,LIMPIO,Ya somos 10.000 en la comunidad. Gracias por confiar en mi asesoria.,P3 borde: separador de miles que NO es precio (cantidad de seguidoras),Publicar,Bloqueo (patron: 10.000),FP,Bloquea de mas (FP)
L11,Texto,LIMPIO,Desde 2.024 acompanando tu rutina de cuidado de la piel.,P3 borde: ano escrito con separador de miles,Publicar,Bloqueo (patron: 2.024),FP,Bloquea de mas (FP)
L12,Texto,LIMPIO,Ya somos 10000 en la comunidad. Gracias por confiar en mi asesoria.,P3 control: el mismo caso que L10 sin el punto separador,Publicar,Publico,VN,Publica (VN)
L13,Texto,INFRACTOR,Limpiador 4 en 1: 30% OFF esta semana.,P4 porcentaje+off: dentro del limite,Bloquear,Bloqueo (patron: 30% OFF),VP,Bloquea (VP)
L14,Texto,INFRACTOR,Limpiador 4 en 1: 30% menos esta semana.,P4 borde: descuento expresado sin la palabra off/desc,Bloquear,Publico,FN,Se escapa (FN)
L15,Texto,INFRACTOR,Limpiador 4 en 1: -30% solo por esta semana.,P4 borde: descuento con signo menos y sin palabra gatillo,Bloquear,Publico,FN,Se escapa (FN)
L16,Texto,LIMPIO,El 90% de las clientas repite la rutina de 3 pasos.,P4 borde: porcentaje que no es descuento,Publicar,Publico,VN,Publica (VN)
L17,Texto,INFRACTOR,Aprovecha la promo de primavera en cuidado facial.,P5 vocabulario comercial: dentro del limite (singular),Bloquear,Bloqueo (patron: promo),VP,Bloquea (VP)
L18,Texto,INFRACTOR,Aprovecha las promos de primavera en cuidado facial.,P5 borde: PLURAL — la lista no tiene s? opcional y el \b falla contra la s,Bloquear,Bloqueo (patron: promos),VP,Se escapa (FN)
L19,Texto,INFRACTOR,Consultame por las ofertas de primavera en cuidado facial.,P5 borde: PLURAL de oferta,Bloquear,Bloqueo (patron: ofertas),VP,Se escapa (FN)
L20,Texto,LIMPIO,El suero rebaja la apariencia de las lineas finas con el uso diario.,P5 borde: rebaja como VERBO cosmetico, no como descuento,Bloqueo (patron: rebaja),FP,,Bloquea de mas (FP)
L21,Texto,LIMPIO,"Una rutina economica en tiempo: 3 pasos, 5 minutos por dia.",P5 borde: economica referida al tiempo, no al dinero,Bloqueo (patron: economica),FP,,Bloquea de mas (FP)
L22,Texto,INFRACTOR,"Labial matte nuevo, precio 3200. Consultame.",P6 palabra-precio+digito: dentro del limite (numero inmediato),Bloquear,Bloqueo (patron: precio 3),VP,Bloquea (VP)
L23,Texto,INFRACTOR,"Labial matte nuevo, los precios: 3200 y 4100 segun el tamano.",P6 borde: PLURAL + dos puntos entre la palabra y el numero,Bloquear,Bloqueo (patron: precios: 3),VP,Se escapa (FN)
L24,Texto,INFRACTOR,"Labial matte nuevo, el precio es 3200. Consultame.",P6 borde: la forma mas natural en espanol (precio + es + numero),Bloquear,Bloqueo (patron: precio es 3),VP,Se escapa (FN)
L25,Texto,LIMPIO,"Vale la pena cuidar tu piel todos los dias, no solo antes de un evento.",P6 borde: vale como verbo, sin numero detras,Publico,VN,,Publica (VN)
