Eje,Revista,Autor,Anio,Titulo,DOI,Citas,Decision,Motivo
aceptacion-tecnologica,Computers in Human Behavior,Yang,2026,"Integrating technology acceptance, self-determination, and self-regulation: A structural model of generative AI-supported learning and competence",10.1016/j.chb.2026.108933,11,incluir,"TAM aplicado a IA generativa, actualiza directamente el vacio de citas post-Davis(1989) del hueco"
aceptacion-tecnologica,International Journal of Human-Computer Studies,Jiang et al.,2026,When trust collides: Exploring human-LLM cooperation intention through the prisoner’s dilemma,10.1016/j.ijhcs.2026.103740,5,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,ACM Transactions on Information Systems,Alaofi et al.,2026,On the Use of LLMs for Relevance Labelling,10.1145/3788872,3,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Transactions on Software Engineering and Methodology,Wan et al.,2026,Does Your Neural Code Completion Model Use My Code? A Membership Inference Approach,10.1145/3742785,2,descartar,fuera-de-dominio
aceptacion-tecnologica,Behaviour and Information Technology,Lopes et al.,2026,Exploring psychosocial predictors of AI use intention: the moderating role of organisational culture in diverse workplaces,10.1080/0144929x.2026.2626743,2,incluir,TAM + teoria organizacional aplicado a intencion de uso de IA en el trabajo
aceptacion-tecnologica,ACM Transactions on Software Engineering and Methodology,Shen et al.,2026,Separate Bombs from Firecrackers: Intention-guided Vulnerability Assessment via LLM,10.1145/3797896,1,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Systems and Software,Gəruslu et al.,2026,Encouraging responsible GenAI use in software engineering education: A design-oriented model,10.1016/j.jss.2026.112846,1,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,European Journal of Information Systems,Ambros et al.,2026,Social acceptance of central bank digital currency: insights from the digital euro,10.1080/0960085x.2026.2630833,1,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,European Journal of Information Systems,Neves et al.,2026,Sustainable energy technologies use: understanding social drivers and humanistic outcomes in four EU countries,10.1080/0960085x.2026.2684708,1,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Management Information Systems,Yuan et al.,2026,Celebrity-as-a-Service: Trust and Willingness to Use Digital Twins for Customer Service,10.1080/07421222.2026.2647472,1,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,Behaviour and Information Technology,Yuan et al.,2026,Antecedents and consequences of lurking intention in organisations: the moderating role of social-related public social media use,10.1080/0144929x.2026.2619110,1,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,Journal of the Academy of Marketing Science,Eisingerich et al.,2026,Taking the role of marketing in consumer well-being seriously: It is about time—the PACT framework,10.1007/s11747-026-01179-9,1,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Transactions on Information Systems,Tenedios et al.,2026,On the Use of Electroencephalography in Query Performance Prediction,10.1145/3816244,1,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Transactions on the Web,Venkatraman et al.,2026,Characterizing Language Use in Online Accessibility Discussion Forums,10.1145/3757745,1,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Marketing Research,Du et al.,2026,When Do Purchase Preconditions Increase Purchase Intention? The Role of External Reference Points,10.1177/00222437251397971,0,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Computing Surveys,Shafiq et al.,2026,A Survey on the Use of Machine Learning within Computer Algebra,10.1145/3831699,0,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Marketing Research,Dai et al.,2025,Artificial Intelligence on Call: The Physician's Decision of Whether to Use AI in Clinical Practice,10.1177/00222437251332898,31,descartar,"sin-relacion-con-hueco: analisis de decision y responsabilidad legal medica, no metodologia TAM"
aceptacion-tecnologica,Information and Software Technology,Adzgauskaite et al.,2025,What helps Agile remote teams to be successful in developing software? Empirical evidence,10.1016/j.infsof.2024.107593,16,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Business Research,Zhang et al.,2025,How facial cues of streamers drive purchase intention in live streaming commerce: Based on a lens model,10.1016/j.jbusres.2025.115193,16,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Systems and Software,Koudriachov et al.,2025,Success with Agile Project Management: Looking back and into the future,10.1016/j.jss.2025.112428,14,descartar,fuera-de-dominio
aceptacion-tecnologica,Decision Support Systems,Venkatesh,2025,"Paradigm changing metaverse: Future research directions in design, technology adoption and use, and impacts",10.1016/j.dss.2024.114307,12,descartar,"sin-relacion-con-hueco: agenda de investigacion sobre metaverso, no critica ni aplicacion metodologica de TAM"
aceptacion-tecnologica,ACM Transactions on Computer-Human Interaction,Dalsgaard et al.,2025,A Unified Model for Haptic Experience,10.1145/3711842,11,descartar,fuera-de-dominio
aceptacion-tecnologica,IEEE Transactions on Software Engineering,De Vito et al.,2025,LLM-Based Automation of COSMIC Functional Size Measurement From Use Cases,10.1109/tse.2025.3554562,9,descartar,fuera-de-dominio
aceptacion-tecnologica,International Journal of Human-Computer Studies,Ma et al.,2025,Exploring the effects of location information on perceptions of news credibility and sharing intention,10.1016/j.ijhcs.2024.103378,5,descartar,fuera-de-dominio
aceptacion-tecnologica,Journal of Marketing Research,Dolbec,2025,From Streetwear to High Fashion: How Nonelite Producers Use Hybridization to Enter an Elite Category,10.1177/00222437251314372,5,descartar,fuera-de-dominio
aceptacion-tecnologica,European Journal of Information Systems,Shamsi,2025,Formation and evolution of technology acceptance and resistance patterns: a latent transition analysis,10.1080/0960085x.2025.2603343,4,incluir,"dinamica temporal de formacion y evolucion de patrones de aceptacion, teoria TAM sofisticada"
aceptacion-tecnologica,ACM Transactions on Software Engineering and Methodology,Yu et al.,2025,Test Script Intention Generation for Mobile Application via GUI Image and Code Understanding,10.1145/3722105,3,descartar,fuera-de-dominio
aceptacion-tecnologica,Information Systems Journal,Xia et al.,2025,Can Digital Technology Use Stimulate User Potential Creativity to Enhance Digital Product Innovation Performance?,10.1111/isj.70011,3,descartar,sin-relacion-con-hueco
aceptacion-tecnologica,IEEE Transactions on Software Engineering,Li et al.,2025,TransferFuzz-Pro: Large Language Model Driven Code Debugging Technology for Verifying Propagated Vulnerability,10.1109/tse.2025.3584774,2,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Transactions on Software Engineering and Methodology,Zemín et al.,2025,An Empirical Study on the Suitability of Test-based Patch Acceptance Criteria,10.1145/3702971,2,descartar,fuera-de-dominio
aceptacion-tecnologica,ACM Computing Surveys,Larsson et al.,2025,"Hardware-Level QoS Enforcement Features: Technologies, Use Cases, and Research Challenges",10.1145/3774317,2,descartar,fuera-de-dominio
aceptacion-tecnologica,Empirical Software Engineering,Ollando et al.,2025,Test schedule generation for acceptance testing of mission-critical satellite systems,10.1007/s10664-025-10737-8,1,descartar,fuera-de-dominio
aceptacion-tecnologica,Computers in Human Behavior,Saif et al.,2024,Chat-GPT; validating Technology Acceptance Model (TAM) in education sector via ubiquitous learning mechanism,10.1016/j.chb.2023.108097,282,incluir,ya preidentificado: ChatGPT validando TAM en educacion
aceptacion-tecnologica,Information and Software Technology,Barros et al.,2024,Agile software development projects–Unveiling the human-related critical success factors,10.1016/j.infsof.2024.107432,49,descartar,fuera-de-dominio
