Conjunto,ID,Forma,Contenido
"representativo (§5.1, medida principal)",R01,símbolo de moneda + cifra,Nuevo labial líquido 💄 $3.200. Escribime por privado.
"representativo (§5.1, medida principal)",R02,símbolo de moneda + cifra,Set de skincare completo a $8500 🌿
"representativo (§5.1, medida principal)",R03,cifra + palabra de moneda,"Perfume floral, 4500 pesos, hacé tu pedido 💐"
"representativo (§5.1, medida principal)",R04,vocabulario comercial sin cifra,OFERTA de la semana en toda la línea de rostro ✨
"representativo (§5.1, medida principal)",R05,descuento porcentual,Base HD con 25% off por tiempo limitado
"representativo (§5.1, medida principal)",R06,palabra de precio + cifra,"Rubor en polvo, cuesta 2800 💗"
"representativo (§5.1, medida principal)",R07,vocabulario comercial sin cifra,2x1 en labiales seleccionados 💄
"representativo (§5.1, medida principal)",R08,símbolo de moneda + cifra,Crema de noche antiedad — US$ 35 🌙
"representativo (§5.1, medida principal)",R09,vocabulario comercial sin cifra,Kit de brochas en 3 cuotas sin interés 🖌️
"representativo (§5.1, medida principal)",R10,vocabulario comercial sin cifra,"PROMO especial, consultá disponibilidad 🌷"
"representativo (§5.1, medida principal)",R11,símbolo de moneda + cifra,"Máscara de pestañas, vale $2900 👁️"
"representativo (§5.1, medida principal)",R12,descuento porcentual,Descuento del 15% en tu primera compra
"representativo (§5.1, medida principal)",R13,cifra + palabra de moneda,Sérum vitamina C 💧 a 5200 pesos
"representativo (§5.1, medida principal)",R14,símbolo de moneda + cifra,Labial mate edición limitada $4100 💋
"representativo (§5.1, medida principal)",R15,cifra + palabra de moneda,"Gloss con brillo, 3600 pesos, envío incluido"
"representativo (§5.1, medida principal)",R16,forma indirecta (ninguna marca léxica explícita),"Te lo dejo en tres mil quinientos, escribime 🌸"
"representativo (§5.1, medida principal)",R17,vocabulario comercial sin cifra,Combo mamá e hija a mitad de precio 💕
"representativo (§5.1, medida principal)",R18,vocabulario comercial sin cifra,Escribime y te paso la lista de precios 💌
estrés,P01,símbolo de moneda + cifra,Labial matte de larga duracion. Sale $2500. Consultame por privado.
estrés,P02,cifra + palabra de moneda,Set de cuidado facial a solo 1.500 pesos.
estrés,P03,vocabulario comercial sin cifra,Aprovecha la OFERTA del mes en toda la linea.
estrés,P04,palabra de precio + cifra,"Serum antiedad, cuesta 3000, escribime."
estrés,P05,vocabulario comercial sin cifra,2x1 en mascaras de pestanas.
estrés,P06,descuento porcentual,Base liquida con 30% off esta semana.
estrés,P07,símbolo de moneda + cifra,"Crema humectante, US$ 40, envio a todo el pais."
estrés,P08,vocabulario comercial sin cifra,Kit completo en 3 cuotas sin interes.
estrés,P09,símbolo de moneda + cifra,"Perfume importado, vale $4500."
estrés,P10,vocabulario comercial sin cifra,PROMO especial! Rubor + labial. Escribime.
estrés,P11,descuento porcentual,Descuento del 20% en productos seleccionados.
estrés,P12,palabra de precio + cifra,"Delineador waterproof, abonas 1800 y es tuyo."
estrés,P13,forma indirecta (ninguna marca léxica explícita),"Este labial cuesta dos mil quinientos pesos, escribime."
estrés,P14,forma indirecta (ninguna marca léxica explícita),"Te lo dejo en 2500, escribime por privado."
estrés,P15,descuento porcentual,Set facial a 30% menos solo por hoy.
estrés,P16,palabra de precio + cifra,Aprovecha: 3 pagos de 900 cada uno.
estrés,P17,forma indirecta (ninguna marca léxica explícita),"Labial premium por 20 verdes, escribime."
estrés,P18,palabra de precio + cifra,Precio 👉 3200. Escribime.
valores límite,L01,símbolo de moneda + cifra,Base TimeWise ya disponible. $2500 con envio incluido. Escribime.
