Caso,Estado,Opcion,Solicitud_contacto_o_compra,Invitacion_a_comentar,Patrones,Texto
V11,antes,opcion1,SI,NO,/\bescr[ií]b(?:e|i)(?:me|nos|le)?\b/i | /\b(?:un\s+)?(?:MD|DM)\b/,"Descubre la ciencia de una piel impecable. La línea Mary Kay TimeWise 3D Foundation, disponible en acabados Luminous para un resplandor natural y Matte para una cobertura sin brillos, integra beneficios para el cuidado de la piel. Nuestra CC Cream Complexion Corrector Cream ofrece una cobertura ligera con protección solar SPF 15, unificando el tono y cuidando tu piel. Completa tu aplicación con la Brocha para Base Líquida, diseñada para un acabado uniforme y profesional. ✨ ¿Interesada en cómo estos productos pueden transformar tu rutina? Escribime un MD para más detalles 💬 #MaryKay #CuidadoDeLaPiel #MaquillajeMaryKay #BellezaConCiencia #PielSaludable"
V11,antes,opcion2,SI,NO,/\benv[ií](?:a|á)(?:me|nos)?\b/i,"¿Lista para deslumbrar con una piel perfectamente radiante? 💫 Con las bases TimeWise 3D de Mary Kay, elige el acabado que mejor te representa: Luminous para una luminosidad juvenil o Matte para un look sofisticado sin brillos. La CC Cream es tu secreto para una corrección sutil y protección diaria, mientras que el polvo compacto sella tu belleza. ¡Mereces un cutis que refleje tu mejor versión cada día! 👑 Envía un mensaje y diseñemos juntas tu rutina ideal para un rostro espectacular. 💖 #MaryKayBeauty #TransformaTuPiel #LujoEnTuRutina #BaseDeMaquillaje #PerfecciónMK"
V11,antes,opcion3,SI,NO,/\bm[áa]nd(?:a|á)(?:me|nos)?\b/i | /\bcoordin(?:amos|emos)\b/i | /\b(?:escribi|manda|envia|mandá|enviá)\w*\s+(?:un\s+)?mensaje\b/i,"¡Hey, amiga! 🤩 ¿Buscando el combo perfecto para un look 'mi piel, pero mejor'? ¡Lo tenemos! Con las bases TimeWise 3D de Mary Kay, puedes elegir entre un glow natural con la Luminous o un acabado matte impecable para esos días #OilControl. Y si eres fan de la cobertura ligera que además protege, ¡la CC Cream con SPF es un must en tu cosmetiquera! ☀️ No olvides la brocha y el polvo para ese toque final de ensueño. 😉 ¡Atrévete a brillar! Mandame un mensaje y coordinamos tu match perfecto para un cutis espectacular. 👇 #MaryKayMx #MaquillajeDiario #PielRadiante #BeautyHacks #AmigasPorMK"
V11,despues,opcion1,NO,NO,,"Eleva tu rutina con la innovación de Mary Kay. 🔬 La Base Líquida TimeWise 3D, disponible en acabados Luminous y Matte, ofrece cobertura impecable a la vez que desafía los signos de la edad. Para una corrección ligera y protección diaria, nuestra CC Cream con SPF 15 es tu aliada. Finaliza con un toque de Polvo Compacto para fijar tu look, aplicando todo con la Brocha para Base Líquida, diseñada para una difusión perfecta. Conoce la diferencia de una piel radiante y cuidada. #MaryKay #CuidadoDeLaPiel #Maquillaje #BellezaProfesional #BaseDeMaquillaje #TimeWise"
V11,despues,opcion2,NO,NO,,"Mereces una piel que hable por sí sola. ✨ Descubre la armonía perfecta con la colección de bases Mary Kay. Ya sea que busques el resplandor de la Base Líquida Luminous 3D TimeWise o la sofisticación de un acabado Matte, cada aplicación te envuelve en una confianza inigualable. La CC Cream con su toque corrector y protector, y el Polvo Compacto para ese acabado final de ensueño. Eleva tu rutina y revela la mejor versión de ti misma. Disfruta de la sensación de una piel impecable, lista para conquistar el día. #MaryKay #PielPerfecta #MaquillajeLujo #BellezaRadiante #BaseImpecable #ConfianzaMK"
V11,despues,opcion3,NO,NO,,"¡Amiga, date cuenta! 🤩 Tu piel merece lo mejor, y aquí está el team completo para que brilles sin esfuerzo. Si eres de las que ama un acabado #MatteGoals con la Base TimeWise 3D o prefieres ese #GlowUp natural con la Luminous 3D, ¡aquí está tu match! Y para esos días 'no make-up' pero sí 'quiero buena cara', nuestra CC Cream con SPF te salva. Un toque de polvo y brocha y ¡listo! ¿Quién dijo que cuidarse no podía ser divertido? Descubre cómo cada producto puede transformar tu rutina diaria en un momento de mimos. #MaryKay #MakeUpDíaADía #BeautyHacks #PielRadiante #AmigasDeBelleza #RutinaMK #MaquillajeFacil"
V12,antes,opcion1,SI,NO,/\bescr[ií]b(?:e|i)(?:me|nos|le)?\b/i,"Descubre el secreto para un lienzo perfecto y protegido. 🔬 Nuestro Preparador de Maquillaje con Protector Solar FPS 15 de Mary Kay es el paso fundamental para una piel suave y lista. Su fórmula innovadora crea una base uniforme, ayudando a minimizar la apariencia de poros y líneas finas, mientras extiende la duración de tu maquillaje. Además, ofrece protección solar diaria, cuidando tu piel de los factores externos. ¡Belleza y ciencia en un solo producto! ✨☀️ #MaryKay #CuidadoDeLaPiel #PrimerProfesional #BellezaInteligente #RutinaDeBelleza 
Escribime para descubrir cómo integrarlo en tu rutina 💬"
V12,antes,opcion2,SI,NO,/\bm[áa]nd(?:a|á)(?:me|nos)?\b/i | /\b(?:escribi|manda|envia|mandá|enviá)\w*\s+(?:un\s+)?mensaje\b/i,"Eleva tu rutina de maquillaje a un nivel superior y consigue un acabado de revista. 💎 Con el Preparador de Maquillaje con Protector Solar FPS 15 de Mary Kay, tu piel estará impecable y radiante, lista para cualquier desafío. Siente la confianza de un maquillaje que perdura, con una base perfectamente lisa y la protección esencial que tu piel anhela. ¡Es el toque final para empezar tu día brillando con luz propia! 🌟💖 #MaryKayBeauty #MaquillajePerfecto #PielRadiante #ConfianzaMK #LujoCotidiano 
¡Mandame un mensaje y transformemos tu preparación diaria! ✨"
V12,antes,opcion3,SI,SI,/\bm[áa]nd(?:a|á)(?:me|nos)?\b/i | /\b(?:un\s+)?(?:MD|DM)\b/ | /\bcont(?:a|á)(?:me|nos)\b/i,"¿Cansada de que tu maquillaje se desvanezca a medio día? ¡Tenemos la solución más top! 😉 Nuestro Preparador de Maquillaje con Protector Solar FPS 15 de Mary Kay es como el mejor amigo de tu base: la ayuda a quedarse quieta y te da un acabado digno de selfie. ¡Además, tiene SPF 15 para un plus de protección solar! ☀️ Un solo producto para lucir increíble y sin preocupaciones. ¡Tu piel te lo va a agradecer! 💅🤩 #MaryKayLovers #MakeupHacks #BellezaExpress #AmigaSecretaMK #BeautyEssentials 
Contame en los comentarios, ¿cuál es tu secreto para un look impecable? 👇 O mejor, ¡mandame un MD para el tuyo!"
V12,despues,opcion1,NO,NO,,"Un lienzo perfecto es el secreto de todo gran maquillaje. Nuestro Foundation Primer Sunscreen SPF 15 es la base esencial para tu rutina de belleza. Su fórmula especializada prepara la piel, creando una superficie suave y uniforme que ayuda a prolongar la duración de tu base, mientras que su protección solar es un escudo diario contra los daños del sol. Un paso inteligente para una piel cuidada y un look impecable. ✨🔬 #MaryKay #CuidadoDeLaPiel #PrimerFacial #BellezaConCiencia #PreparacionPerfecta"
